name,price,stars,rating_count
"DASH Tasti-Crisp™ Ceramic Air Fryer Oven, 2.6 Qt., Cream – Compact Air Fryer for Healthier Food in Minutes, Ceramic Nonstick Surface, Ideal for Small Spaces - Auto Shut Off, Digital, 1000-Watt",$,4.5 out of 5 stars,
"Apple iPad Air 2 MGKM2LL/A (64GB, Wi-Fi, Silver) NEWEST VERSION (Renewed)",$125.00,4.2 out of 5 stars,
"Apple iPad Pro (11-inch, Wi-Fi, 64GB) - Space Gray (2018) (Renewed)",$339.90,4.4 out of 5 stars,
"2020 Apple iPad Air (10.9-inch, Wi-Fi, 64GB) Green (Renewed)",$369.95,4.5 out of 5 stars,
"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Blue (Renewed)",$369.00,4.5 out of 5 stars,
Apple Renewed iPad Air 2 - 64GB - Gold (Renewed),$135.00,4.4 out of 5 stars,
"2019 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (Renewed Premium)",$229.00,4.4 out of 5 stars,
"Apple iPad 9.7' with WiFi, 32GB, Space Gray - MP2F2LL/A (Renewed)",$126.00,4.4 out of 5 stars,
"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation) (Renewed)",$199.00,4.5 out of 5 stars,
"2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)",$139.00,4.5 out of 5 stars,
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",$,4.8 out of 5 stars,
"2017 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",$115.00,4.6 out of 5 stars,
"2017 Apple iPad (9.7-inch, WiFi + Cellular, 32GB) - Space Gray (Renewed)",$120.00,4.5 out of 5 stars,
Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),$125.00,4.5 out of 5 stars,
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",$,4.8 out of 5 stars,
"Apple iPad (10.2-Inch, Wi-Fi, 128GB) - Space Gray (Renewed)",$195.00,4.5 out of 5 stars,
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",$,4.8 out of 5 stars,
"COSMO COS-23AFAKB 2.3 Quart Electric Small Air Fryer with Temperature Control, Timer, Auto Shut-Off, Non-Stick Frying Tray, 1000W Compact Mini Air Fryer (2.3 Quarts, Stainless Steel/Black)",$,4.4 out of 5 stars,
"Chefman 6 Quart Dual Basket Air Fryer - Digital Touchscreen, Smart Sync Finish, Hi-Fry, Auto Shutoff, 2 Independent 3QT Nonstick Dishwasher-Safe Frying Baskets - Digital Double Air Fryer - Black",$,4.4 out of 5 stars,
"Ninja AF161 Max XL Air Fryer that Cooks, Crisps, Roasts, Bakes, Reheats and Dehydrates, with 5.5 Quart Capacity, and a High Gloss Finish, Grey",$,4.7 out of 5 stars,
"Instant Vortex Plus 6QT XL Air Fryer, 6-in-1, Broils, Dehydrates, Crisps, Roasts, Reheats, Bakes for Quick Easy Meals, 100+ In-App Recipes, Dishwasher-Safe, from the Makers of Instant Pot, Black",$,4.6 out of 5 stars,
"DASH Tasti-Crisp™ Electric Air Fryer Oven, 2.6 Qt., Grey – Compact Air Fryer for Healthier Food in Minutes, Ideal for Small Spaces - Auto Shut Off, Analog, 1000-Watt",$,4.5 out of 5 stars,
"Emeril Lagasse 26 QT Extra Large Air Fryer, Convection Toaster Oven with French Doors, Stainless Steel",$,4.6 out of 5 stars,
"COSORI Air Fryer Pro LE 5-Qt Airfryer, Quick and Easy Meals, UP to 450℉, Quiet, 85% Oil less, 130+ Recipes, 9 Customizable Functions, SHAKE Reminder, Compact, Dishwasher Safe",$,4.7 out of 5 stars,
"Chefman TurboFry® Touch Air Fryer, XL 8-Qt Family Size, One-Touch Digital Control Presets, French Fries, Chicken, Meat, Fish, Nonstick Dishwasher-Safe Parts, Automatic Shutoff, Stainless Steel",$,4.6 out of 5 stars,
"COSORI Air Fryer TurboBlaze 6Qt, 9-in-1 Airfryer, 5 Speeds Dry, Roast, Proof, 15-MINS In-App Recipes, Compact, Quickly Cook, 95% Less Oil for Healthy Meals, Easy Clean, Dark Gray",$,4.8 out of 5 stars,
"Cosori Mini Air Fryer 2.1 Qt, 4-in-1 Small Airfryer, Bake, Roast, Reheat, Space-saving & Low-noise, Nonstick and Dishwasher Safe Basket, 30 In-App Recipes, Sticker with 6 Reference Guides, Gray",$,4.6 out of 5 stars,
"CHEFMAN Multifunctional Digital Air Fryer+ Rotisserie, Dehydrator, Convection Oven, 17 Touch Screen Presets Fry, Roast, Dehydrate, Bake, XL 10L Family Size, Auto Shutoff, Large Easy-View Window, Black",$,4.3 out of 5 stars,
"Ninja DZ201 Foodi 8 Quart 6-in-1 DualZone 2-Basket Air Fryer with 2 Independent Frying Baskets, Match Cook & Smart Finish to Roast, Broil, Dehydrate & More for Quick, Easy Meals, Grey",$,4.8 out of 5 stars,
"Ninja Air Fryer Pro 4-in-1 with 5 QT Capacity, Air Fry, Roast, Reheat, Dehydrate, Air Crisp Technology with 400F for hot, crispy results in just minutes, Nonstick Basket & Crisper Plate, Grey, AF141",$,4.6 out of 5 stars,
"Chefman Digital Air Fryer, Large 5 Qt Family Size, One Touch Digital Control Presets, French Fries, Chicken, Meat, Fish, Nonstick Dishwasher-Safe Parts, Automatic Shutoff, Black",$,4.6 out of 5 stars,
"Ninja AF101 Air Fryer that Crisps, Roasts, Reheats, & Dehydrates, for Quick, Easy Meals, 4 Quart Capacity, & High Gloss Finish, Grey",$,4.8 out of 5 stars,
Playstation Media Remote,$,4.5 out of 5 stars,
"Doorbell Camera Wireless, Indoor/Outdoor Surveillance Video Cam, Smart AI Human Detection, Live View, Included Chime Ringer, 2.4G WiFi, 2-Way Audio, Night Vision, Cloud Storage",$,4.3 out of 5 stars,
"Smart Video Doorbell Camera Wireless with Ring Chime, AI Human Detection, 2-Way Audio, HD Live View, 2.4G WiFi, Night Vision, Cloud Storage, Battery Powered, Indoor Outdoor Surveillance",$,4.2 out of 5 stars,
"Video Doorbell Camera Wireless with Chime,HD Live View,Night Vision,AI Motion Detection,2-Way Audio,Voice Changer,2.4G WiFi(No 5Ghz WiFi),Battery Powered,Work with Alexa&Google Assistant,Black",$,4 out of 5 stars,
"1080p Video Doorbell Camera Wireless with Ring Chime, FHD Live View, AI Human Detection, 2-Way Audio, Night Vision, Cloud Storage, Battery Powered, Wire-Free, Indoor Outdoor Surveillance",$,4.9 out of 5 stars,
"MUBVIEW Wireless Doorbell Camera with Chime 2K HD, WiFi Video Doorbell Camera with Voice Changer, Motion Detector, Anti-Theft Device, Night Vision, 2-Way Audio, SD/Cloud Storage, No Subscription",$,4.3 out of 5 stars,
"Adjustable 30 to 55 Degree Doorbell Angle Mount Compatible with Video Doorbell 1/2/3/4/Wired/Pro/(2020 Release), Doorbell Camera Mount Holder Bracket Wedge for Apartment",$,4.6 out of 5 stars,
"Silver Wireless 1080p Video Doorbell Camera, AI Human Detection, Live View, 2-Way Audio Included Chime Ring, 2.4G Wi-Fi, Night Vision, Cloud Storage, Indoor/Outdoor Surveillance Cam",$,4.5 out of 5 stars,
"Video Doorbell Camera Wireless, Chime Ringer Included, Smart Motion Human Detection, for Home Security, Wi-Fi, HD, Two-Way Talk, Night Vision, IP65 Waterproof, Cloud Storage",$,4.2 out of 5 stars,
"Certified Refurbished Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",$,4.1 out of 5 stars,
"Smart Video Doorbell Camera Wireless with Ring Chime, AI Human Detection, 2-Way Audio, HD Live View, Night Vision, Cloud Storage, 2.4G WiFi Only, Battery Powered",$,4.2 out of 5 stars,
Video Doorbell Camera HD WiFi Doorbell Wireless Operated Motion Detector Audio & Speaker Night Vision for iOS&Android,$,4 out of 5 stars,
"Doorbell Camera Wireless, Battery-Powered Video Doorbell with Chime, 2K Resolution, No Monthly Fees, 166° Ultra Wide Angle, 180-Day Battery Life, AI Detection, Work with Alexa & Google Assistant",$,4.4 out of 5 stars,
"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",$,4.6 out of 5 stars,
"Wyze Video Doorbell v2, Wired, 2K Video, 24/7 Local Recording with microSD Card, Works with Existing Chime, IP65 Weather Resistant, Color Night Vision, and Two-Way Audio, Black",$,3.9 out of 5 stars,
Lorex 2K WiFi Video Doorbell - Home Surveillance Wired Video Doorbell Outdoor Security Camera System - Requires Existing 16-24VAC Doorbell Wiring (White)- Free Pre Installed 32GB MicroSD Card,$,4 out of 5 stars,
"Anti-Theft Video Doorbell Door Mount, Doorbell No-Drill Mount Fit for Most Video Doorbell, Ring Doorbell Holder for Apartment Door, for Video Doorbell 1/2/3/3 Plus/4/Pro/2021(2020 Release) (Black)",$,4.5 out of 5 stars,
"eufy Security, Wi-Fi Doorbell Camera, 2K Resolution, No Monthly Fees, Local Storage, Human Detection, with Wireless Chime—Requires Existing Doorbell Wires and Installation Experience, 16-24 VAC, 30 VA",$,4.3 out of 5 stars,
"Wyze Wireless Video Doorbell Pro (Chime Included), 1440 HD Video, 1:1 Aspect Ratio: 1:1 Head-to-Toe View, 2-Way Audio, Night Vision",$,4.3 out of 5 stars,
"Arlo Essential Wired Video Doorbell - HD Video, 180° View, Night Vision, 2 Way Audio, DIY Installation (wiring required), Security Camera, Doorbell Camera, Home Security Cameras, White - AVD1001",$,4.1 out of 5 stars,
"Certified Refurbished Ring Indoor Cam (2nd Gen) | latest generation | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | White",$,4.4 out of 5 stars,
"Arlo Essential Video Doorbell - HD Video, 180° View, Night Vision, 2 Way Audio, Direct to Wi-Fi No Hub Needed, Wire Free or Wired, White - AVD2001",$,4.1 out of 5 stars,
"Ring Spotlight Cam Plus, Battery | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",$,4.6 out of 5 stars,
Ring Solar Charger for Video Doorbell (2nd Generation - 2020 Release),$,4.1 out of 5 stars,
"Doorbell Camera Wireless, Smart Video Cam with Chime Ringer, AI Human Detection, Two Way Audio, HD Live View, Night Vision, 2.4G WiFi Only, Cloud Storage, Indoor Outdoor Surveillance",$,4.2 out of 5 stars,
"Ring Indoor Cam (2nd Gen) | latest generation, 2023 release | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | White",$,4.7 out of 5 stars,
Ring Video Doorbell Elite,$,4.4 out of 5 stars,
"Video Doorbell Camera Wireless, 2-Way Audio Included Chime Ring, AI Human Detection, Live View, 2.4G Wi-Fi, Motion Alerts, Night Vision, Cloud Storage, Indoor/Outdoor Surveillance Cam",$,4.2 out of 5 stars,
"Ring Video Doorbell 3 – enhanced wifi, improved motion detection, easy installation",$,4.6 out of 5 stars,
Ring Chime Pro,$,4.6 out of 5 stars,
"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, Black (2021 release)",$,4.7 out of 5 stars,
"Certified Refurbished Ring Video Doorbell 3 Plus – enhanced wifi, improved motion detection, 4-second video previews, easy installation",$,4.5 out of 5 stars,
"Ring Peephole Cam - Smart video doorbell, HD video, 2-way talk, easy installation",$,4.6 out of 5 stars,
"Certified Refurbished Ring Video Doorbell 4 – improved 4-second color video previews plus easy installation, and enhanced wifi – 2021 release",$,4.3 out of 5 stars,
"Certified Refurbished Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk (2023 release)",$,3.8 out of 5 stars,
"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",$,4.3 out of 5 stars,
Ring Chime,$,4.6 out of 5 stars,
"Smart Video Doorbell Camera Wireless with Ring Chime, AI Human Detection, Night Vision, 2.4GHz Wi-Fi Support, Cloud Storage, IP65 Waterproof, Instant Alert, Indoor/Outdoor Surveillance",$,4.3 out of 5 stars,
"Certified Refurbished Ring Video Doorbell Pro, with HD Video, Motion Activated Alerts, Easy Installation (existing doorbell wiring required)",$,4.3 out of 5 stars,
Certified Refurbished Ring Wired Doorbell Pro (Video Doorbell Pro 2) – Best-in-class with cutting-edge features (existing doorbell wiring required),$,4.5 out of 5 stars,
"Certified Refurbished Ring Video Doorbell Wired – Convenient, essential features in a compact design (existing doorbell wiring required) - 2021 release",$,4.3 out of 5 stars,
"Certified Refurbished Ring Video Doorbell 3 – enhanced wifi, improved motion detection, easy installation",$,4.5 out of 5 stars,
"Certified Refurbished Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Satin Nickel",$,4.5 out of 5 stars,
"Ring Wired Doorbell Plus (Video Doorbell Pro) – Upgraded, with added security features and a sleek design (existing doorbell wiring required)",$,4.5 out of 5 stars,
"All-new Ring Battery Doorbell Pro | Head-to-toe HD+ Video, quick recharge, easy installation, seamless integration with Ring App (2024 release)",$,4.2 out of 5 stars,
Ring Wired Doorbell Pro (Video Doorbell Pro 2) – Best-in-class with cutting-edge features (existing doorbell wiring required),$,4.6 out of 5 stars,
"Ring Video Doorbell Wired | Use Two-Way Talk, advanced motion detection, HD camera and real-time alerts to monitor your front door (wiring required)",$,4.5 out of 5 stars,
"Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk (2023 release)",$,4.6 out of 5 stars,
"Ring Video Doorbell – 1080p HD video, improved motion detection, easy installation – Venetian Bronze",$,4.6 out of 5 stars,
